date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2019-05-20,000300,3635.74,3617.79,3644.5,3583.83,1089634.0,134194266112.0,111,179,1558281600.0,1089634.0
2019-05-21,000300,3619.44,3666.78,3690.09,3610.68,1110229.0,133071380480.0,279,17,1558368000.0,1110229.0
2019-05-22,000300,3663.15,3649.38,3679.27,3634.75,983461.0,121775243264.0,88,203,1558454400.0,983461.0
2019-05-23,000300,3629.53,3583.96,3631.47,3578.11,998977.0,125611966464.0,27,268,1558540800.0,998977.0
2019-05-24,000300,3584.9,3593.91,3623.39,3580.79,809340.0,101337497600.0,130,154,1558627200.0,809340.0
2019-05-27,000300,3592.6,3637.2,3648.03,3556.26,1088308.0,133399052288.0,277,20,1558886400.0,1088308.0
2019-05-28,000300,3633.02,3672.26,3683.23,3627.79,1178862.0,148966342656.0,193,93,1558972800.0,1178862.0
2019-05-29,000300,3642.54,3663.91,3693.23,3637.35,933554.0,120002035712.0,82,208,1559059200.0,933554.0
2019-05-30,000300,3648.85,3641.18,3650.97,3612.62,942025.0,112864075776.0,79,209,1559145600.0,942025.0
2019-05-31,000300,3641.0,3629.79,3668.18,3627.55,892222.0,108264202240.0,115,173,1559232000.0,892222.0
2019-06-03,000300,3640.61,3632.01,3672.81,3613.13,1007231.0,123902443520.0,119,167,1559491200.0,1007231.0
2019-06-04,000300,3632.56,3598.47,3636.13,3584.46,870970.0,109467238400.0,65,226,1559577600.0,870970.0
2019-06-05,000300,3627.79,3597.11,3634.45,3593.95,886420.0,114634227712.0,167,117,1559664000.0,886420.0
2019-06-06,000300,3601.04,3564.68,3601.04,3557.02,855344.0,104367267840.0,52,231,1559750400.0,855344.0
2019-06-10,000300,3578.01,3610.74,3623.73,3568.28,923750.0,117346607104.0,224,68,1560096000.0,923750.0
2019-06-11,000300,3617.52,3719.28,3723.14,3617.52,1434828.0,180899069952.0,298,1,1560182400.0,1434828.0
2019-06-12,000300,3706.86,3691.1,3711.88,3683.94,1191788.0,132296097792.0,50,241,1560268800.0,1191788.0
2019-06-13,000300,3689.58,3685.39,3697.59,3654.27,963317.0,110459904000.0,129,155,1560355200.0,963317.0
2019-06-14,000300,3690.48,3654.88,3709.65,3650.91,1018170.0,116584259584.0,51,242,1560441600.0,1018170.0
2019-06-17,000300,3654.44,3654.82,3683.77,3645.5,729766.0,93092577280.0,151,128,1560700800.0,729766.0
2019-06-18,000300,3661.13,3667.62,3675.65,3638.78,706922.0,89472843776.0,139,146,1560787200.0,706922.0
2019-06-19,000300,3761.34,3715.94,3771.35,3715.13,1255957.0,172574179328.0,272,21,1560873600.0,1255957.0
2019-06-20,000300,3718.94,3828.52,3845.79,3717.19,1688720.0,227726983168.0,287,13,1560960000.0,1688720.0
2019-06-21,000300,3832.73,3833.94,3856.09,3817.31,1536351.0,199961624576.0,202,84,1561046400.0,1536351.0
2019-06-24,000300,3836.31,3841.27,3853.55,3819.77,1000846.0,143644737536.0,127,161,1561305600.0,1000846.0
2019-06-25,000300,3837.43,3801.31,3838.06,3755.01,1240759.0,169358786560.0,64,228,1561392000.0,1240759.0
2019-06-26,000300,3779.51,3794.33,3809.76,3771.72,818202.0,112106856448.0,146,134,1561478400.0,818202.0
2019-06-27,000300,3807.54,3834.82,3854.08,3805.83,1053163.0,156483420160.0,221,61,1561564800.0,1053163.0
2019-06-28,000300,3832.06,3825.59,3835.23,3803.05,847661.0,116512047104.0,78,213,1561651200.0,847661.0
2019-07-01,000300,3899.33,3935.81,3936.67,3886.91,1583703.0,217470255104.0,290,9,1561910400.0,1583703.0
2019-07-02,000300,3931.05,3937.17,3942.43,3918.94,1318635.0,173997047808.0,138,147,1561996800.0,1318635.0
2019-07-03,000300,3927.44,3893.53,3927.44,3878.84,1119926.0,163145728000.0,85,206,1562083200.0,1119926.0
2019-07-04,000300,3895.2,3873.1,3906.89,3854.69,993422.0,142669250560.0,113,171,1562169600.0,993422.0
2019-07-05,000300,3875.37,3893.2,3900.31,3857.93,740065.0,116236525568.0,142,145,1562256000.0,740065.0
2019-07-08,000300,3875.75,3802.79,3875.75,3775.03,1095390.0,147198427136.0,14,285,1562515200.0,1095390.0
2019-07-09,000300,3798.1,3793.13,3811.1,3774.76,748427.0,113147600896.0,138,139,1562601600.0,748427.0
2019-07-10,000300,3807.95,3786.74,3810.4,3774.23,728339.0,101355479040.0,86,210,1562688000.0,728339.0
2019-07-11,000300,3806.19,3785.22,3830.74,3774.41,753119.0,113674616832.0,131,146,1562774400.0,753119.0
2019-07-12,000300,3783.07,3808.73,3820.24,3774.52,754659.0,107007926272.0,189,91,1562860800.0,754659.0
2019-07-15,000300,3792.64,3824.19,3844.87,3745.86,1012052.0,142493040640.0,193,96,1563120000.0,1012052.0
2019-07-16,000300,3819.25,3806.85,3828.33,3799.87,807309.0,108449685504.0,131,149,1563206400.0,807309.0
2019-07-17,000300,3800.11,3804.64,3820.27,3787.9,951838.0,116766777344.0,131,146,1563292800.0,951838.0
2019-07-18,000300,3793.19,3768.4,3793.39,3768.0,874964.0,111669362688.0,38,259,1563379200.0,874964.0
2019-07-19,000300,3787.51,3807.96,3828.15,3787.51,880861.0,117797527552.0,223,62,1563465600.0,880861.0
2019-07-22,000300,3813.5,3781.68,3816.54,3765.44,921013.0,117810446336.0,55,237,1563724800.0,921013.0
2019-07-23,000300,3783.54,3789.91,3792.96,3768.76,713133.0,103866605568.0,213,71,1563811200.0,713133.0
2019-07-24,000300,3803.59,3819.83,3840.06,3803.57,909406.0,129940586496.0,229,59,1563897600.0,909406.0
2019-07-25,000300,3821.39,3851.07,3851.07,3812.95,937404.0,125899505664.0,185,92,1563984000.0,937404.0
2019-07-26,000300,3835.23,3858.57,3863.59,3832.52,832592.0,110929731584.0,140,134,1564070400.0,832592.0
2019-07-29,000300,3857.94,3854.27,3862.75,3842.43,848143.0,111679111168.0,112,171,1564329600.0,848143.0
2019-07-30,000300,3861.57,3870.32,3890.73,3861.57,941239.0,120480276480.0,199,89,1564416000.0,941239.0
